ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
1	Akawaio	ALL	tanporo	tanporo	t a n p o r o	t a n p o r o	9		
2	Apalaí	ALL	emero	emero	e m e r o	- e m e r - - - o	1		
3	Arara	ALL	t-ompan	tompan	t o m p a n	t o m p a n	2		
4	Bakairi	ALL	idənərə	idənərə	i d ə n ə r ə	i d ə n ə r ə	5		
5	Hixkaryána	ALL	omeroro	omeroro	o m e r o r o	- o m e r - o r o	1		
6	Ikpeng	ALL	ompan	ompan	o m p a n	- o m p a n	2		
7	Kari'ña	ALL	paʔporo	paʔporo	p a ʔ p o r o	p a ʔ p o r o	8		
8	Karijona	ALL	tɨjahoro	tɨjahoro	t ɨ j a h o r o	t ɨ j a h o r o	6		
9	Kuikuro	ALL	t-atu-te	tatute	t a t u t e	t a t u t e	16		
10	Macushi	ALL	tamɨʔnawɨrɨ	tamɨʔnawɨrɨ	t a m ɨ ʔ n a w ɨ r ɨ	t a m ɨ ʔ n a w ɨ r ɨ	11		
11	Mapoyo	ALL	oiʔpətəərɨ	oiʔpətəərɨ	o i ʔ p ə t ə ə r ɨ	o i ʔ p ə t ə ə r ɨ	15		
12	Panare	ALL	atawən	atawən	a t a w ə n	a t a w ə n	12		
13	Pemón	ALL	tuʔka-rə	tuʔkarə	t u ʔ k a r ə	t u ʔ k a r ə	10		
14	Tamanaku	ALL	t-emt͡ʃa-re	temt͡ʃare	t e m t͡ʃ a r e	t e m t͡ʃ a r e	13		
15	Tiriyó	ALL	ameraarə	ameraarə	a m e r a a r ə	- a m e r a a r ə	1		
16	Waimiri-Atroari	ALL	jeʔʃe-me	jeʔʃeme	j e ʔ ʃ e m e	j e ʔ ʃ e m e	18		
17	Waiwai	ALL	ahnoro	ahnoro	a h n o r o	a h n o r o	4		
18	Wayana	ALL	əmerə	əmerə	ə m e r ə	ə m e r ə	7		
19	Werikyana	ALL	tarahkoro	tarahkoro	t a r a h k o r o	t a r a h k o r o	3		
20	Yawarana	ALL	s-ukase-re	sukasere	s u k a s e r e	s u k a s e r e	14		
21	Ye'kwana	ALL	t-amerə	tamerə	t a m e r ə	t a m e r - - - ə	1		
22	Yukpa	ALL	tuwara	tuwara	t u w a r a	t u w a r a	17		
23	Akawaio	ASH	urumərə	urumərə	u r u m ə r ə	- u - r u - - m ə r ə	19		
24	Akuriyó	ASH	ərenə	ərenə	ə r e n ə	- ə - r e n - - ə - -	19		
25	Apalaí	ASH	oruno	oruno	o r u n o	- o - r u n - - o - -	19		
26	Arara	ASH	jatkɨru	jatkɨru	j a t k ɨ r u	j a t k ɨ r u	23		
27	Bakairi	ASH	pelupə	pelupə	p e l u p ə	p e - l u - - - - p ə	19		
28	Hixkaryána	ASH	werɨmno	werɨmno	w e r ɨ m n o	w e - r ɨ - - m - n o	19		
29	Ikpeng	ASH	t-ompi-le-m	tompilem	t o m p i l e m	t o m p i l e m	24		
30	Kari'ña	ASH	weruʔno	weruʔno	w e r u ʔ n o	w e - r u - - ʔ - n o	19		
31	Karijona	ASH	werenə	werenə	w e r e n ə	w e - r e - - - - n ə	19		
32	Kuikuro	ASH	ilũmpe	ilũmpe	i l ũ m p e	- i - l ũ - - m - p e	19		
33	Macushi	ASH	runuʔpɨ	runuʔpɨ	r u n u ʔ p ɨ	r u - n u - - ʔ - p ɨ	19		
34	Mapoyo	ASH	kərəɲa	kərəɲa	k ə r ə ɲ a	k ə r ə ɲ a	25		
35	Panare	ASH	tuuʔkənə	tuuʔkənə	t u u ʔ k ə n ə	t u u ʔ k ə n ə	20		
36	Pemón	ASH	weruna	weruna	w e r u n a	w e - r u - - - - n a	19		
37	Tiriyó	ASH	erein	erein	e r e i n	- e - r e - - - i n -	19		
38	Waimiri-Atroari	ASH	ikrɨ	ikrɨ	i k r ɨ	i k r ɨ	22		
39	Waiwai	ASH	wemronho	wemronho	w e m r o n h o	w e m r o n - h - - o	19		
40	Wayana	ASH	eruwə	eruwə	e r u w ə	- e - r u w - - ə - -	19		
41	Werikyana	ASH	erunmatɨ	erunmatɨ	e r u n m a t ɨ	- e - r u n - m a t ɨ	19		
42	Yawarana	ASH	wastupərəmutunuspə	wastupərəmutunuspə	w a s t u p ə r ə m u t u n u s p ə	w a s t u p ə r ə m u t u n u s p ə	21		
43	Ye'kwana	ASH	weresɨkɨkɨ	weresɨkɨkɨ	w e r e s ɨ k ɨ k ɨ	w e - r e s ɨ k ɨ k ɨ	19		
44	Yukpa	ASH	weerusa	weerusa	w e e r u s a	w e e r u s - - - - a	19		
45	Akawaio	BELLY	ewan	ewan	e w a n	- e w a n	32		
46	Akuriyó	BELLY	waaku	waaku	w a a k u	w a a k u	26		
47	Apalaí	BELLY	waku	waku	w a k u	w a - k u	26		
48	Arara	BELLY	imin	imin	i m i n	i m i n	31		
49	Bakairi	BELLY	dəhu	dəhu	d ə h u	- - d ə h u	28		
50	Hixkaryána	BELLY	jwe	jwe	j w e	j - w e -	32		
51	Ikpeng	BELLY	emin	emin	e m i n	e m i n	31		
52	Ingarikó	BELLY	rota	rota	r o t a	r o - t a	30		
53	Kari'ña	BELLY	pose	pose	p o s e	p o - - - s e	29		
54	Karijona	BELLY	waku	waku	w a k u	w a - k u	26		
55	Kuikuro	BELLY	tehu	tehu	t e h u	- - t e h u	28		
56	Macushi	BELLY	roʔta	roʔta	r o ʔ t a	r o ʔ t a	30		
57	Mapoyo	BELLY	poetɨ	poetɨ	p o e t ɨ	p o - e - t ɨ	29		
58	Panare	BELLY	juwe	juwe	j u w e	j u w e -	32		
59	Pemón	BELLY	jewan	jewan	j e w a n	j e w a n	32		
60	Tamanaku	BELLY	weni	weni	w e n i	w e n i	27		
61	Tiriyó	BELLY	waku	waku	w a k u	w a - k u	26		
62	Waimiri-Atroari	BELLY	wepɨ	wepɨ	w e p ɨ	w e - - p ɨ	28		
63	Waiwai	BELLY	wetho	wetho	w e t h o	w e t - h o	28		
64	Wayana	BELLY	wetepu	wetepu	w e t e p u	w e t e p u	28		
65	Werikyana	BELLY	wetuhu	wetuhu	w e t u h u	w e t u h u	28		
66	Yawarana	BELLY	posetti	posetti	p o s e t t i	p o s e t t i	29		
67	Ye'kwana	BELLY	wenɨ	wenɨ	w e n ɨ	w e n ɨ	27		
68	Yukpa	BELLY	pose	pose	p o s e	p o - - - s e	29		
69	Akawaio	BIG	eke	eke	e k e	- e k - - e	35		
70	Akuriyó	BIG	mono me	mono me	m o n o + m e	m o n - - o + m e	33		
71	Apalaí	BIG	zumo	zumo	z u m o	z u m o	46		
72	Arara	BIG	tarik	tarik	t a r i k	t a r i k	43		
73	Bakairi	BIG	iməsedo	iməsedo	i m ə s e d o	i m ə s e d o	38		
74	Hixkaryána	BIG	horʲme	horʲme	h o rʲ m e	h o rʲ m e	34		
75	Ikpeng	BIG	oke	oke	o k e	o k e	42		
76	Ingarikó	BIG	eke	eke	e k e	- e k - - e	35		
77	Kari'ña	BIG	poto	poto	p o t o	- - p o t - o -	36		
78	Karijona	BIG	monome	monome	m o n o m e	m o n o m e - - -	33		
79	Kuikuro	BIG	t͡sekeɣɨ	t͡sekeɣɨ	t͡s e k e ɣ ɨ	t͡s e k e ɣ ɨ	35		
80	Macushi	BIG	kureʔ	kureʔ	k u r e ʔ	k u r e ʔ	40		
